Customer,Invoice_Date,Due_Date, Amount ,Is_Paid,Invoice age, Outstanding amount ,Status,Overdue flag,Aging Bucket
Apex Logistics,02-01-26,01-02-26," 20,749.88 ",TRUE,126, -   ,Paid,Not Overdue,90+
Summit Manufacturing,11-02-26,13-03-26," 22,524.15 ",TRUE,86, -   ,Paid,Not Overdue,61-90
Global Tech Corp,28-02-26,30-03-26," 13,724.84 ",FALSE,69," 13,724.84 ",Unpaid,Overdue,61-90
Apex Logistics,19-01-26,18-02-26," 21,683.82 ",TRUE,109, -   ,Paid,Not Overdue,90+
Horizon Media,25-03-26,24-04-26," 13,064.68 ",FALSE,44," 13,064.68 ",Unpaid,Overdue,31-60
Apex Logistics,29-01-26,28-02-26," 13,348.36 ",TRUE,99, -   ,Paid,Not Overdue,90+
Apex Logistics,23-04-26,23-05-26," 6,474.56 ",FALSE,15," 6,474.56 ",Unpaid,Not Overdue,0-30
Summit Manufacturing,01-02-26,03-03-26," 4,203.17 ",TRUE,96, -   ,Paid,Not Overdue,90+
Summit Manufacturing,14-03-26,13-04-26," 23,042.59 ",FALSE,55," 23,042.59 ",Unpaid,Overdue,31-60
Horizon Media,28-01-26,27-02-26," 1,301.95 ",TRUE,100, -   ,Paid,Not Overdue,90+
Global Tech Corp,14-03-26,13-04-26," 21,447.22 ",TRUE,55, -   ,Paid,Not Overdue,31-60
Apex Logistics,25-02-26,27-03-26," 15,181.02 ",TRUE,72, -   ,Paid,Not Overdue,61-90
Global Tech Corp,26-03-26,25-04-26," 7,485.76 ",TRUE,43, -   ,Paid,Not Overdue,31-60
Apex Logistics,14-01-26,13-02-26," 4,089.48 ",TRUE,114, -   ,Paid,Not Overdue,90+
Apex Logistics,16-04-26,16-05-26," 9,137.98 ",TRUE,22, -   ,Paid,Not Overdue,0-30
Delta Retail,16-02-26,18-03-26," 24,171.76 ",TRUE,81, -   ,Paid,Not Overdue,61-90
Apex Logistics,05-01-26,04-02-26," 17,502.75 ",TRUE,123, -   ,Paid,Not Overdue,90+
Global Tech Corp,09-02-26,11-03-26," 17,580.35 ",TRUE,88, -   ,Paid,Not Overdue,61-90
Horizon Media,24-02-26,26-03-26," 13,830.92 ",TRUE,73, -   ,Paid,Not Overdue,61-90
Horizon Media,05-04-26,05-05-26," 16,385.15 ",FALSE,33," 16,385.15 ",Unpaid,Overdue,31-60
Delta Retail,11-01-26,10-02-26," 5,373.29 ",TRUE,117, -   ,Paid,Not Overdue,90+
Global Tech Corp,11-01-26,10-02-26," 14,414.16 ",TRUE,117, -   ,Paid,Not Overdue,90+
Apex Logistics,04-02-26,06-03-26," 13,110.58 ",TRUE,93, -   ,Paid,Not Overdue,90+
Horizon Media,06-03-26,05-04-26," 3,768.48 ",TRUE,63, -   ,Paid,Not Overdue,61-90
Summit Manufacturing,20-01-26,19-02-26," 8,941.54 ",TRUE,108, -   ,Paid,Not Overdue,90+
Apex Logistics,28-04-26,28-05-26," 23,395.51 ",FALSE,10," 23,395.51 ",Unpaid,Not Overdue,0-30
Global Tech Corp,09-02-26,11-03-26," 5,158.31 ",TRUE,88, -   ,Paid,Not Overdue,61-90
Delta Retail,26-03-26,25-04-26," 12,064.38 ",TRUE,43, -   ,Paid,Not Overdue,31-60
Global Tech Corp,12-03-26,11-04-26," 17,380.06 ",TRUE,57, -   ,Paid,Not Overdue,31-60
Summit Manufacturing,17-04-26,17-05-26," 11,265.98 ",FALSE,21," 11,265.98 ",Unpaid,Not Overdue,0-30
Delta Retail,07-03-26,06-04-26," 13,300.69 ",TRUE,62, -   ,Paid,Not Overdue,61-90
Summit Manufacturing,06-04-26,06-05-26," 7,072.12 ",TRUE,32, -   ,Paid,Not Overdue,31-60
Delta Retail,25-01-26,24-02-26," 1,471.34 ",TRUE,103, -   ,Paid,Not Overdue,90+
Horizon Media,20-03-26,19-04-26," 6,225.13 ",FALSE,49," 6,225.13 ",Unpaid,Overdue,31-60
Delta Retail,26-03-26,25-04-26," 16,258.27 ",TRUE,43, -   ,Paid,Not Overdue,31-60
Global Tech Corp,02-03-26,01-04-26," 8,079.91 ",FALSE,67," 8,079.91 ",Unpaid,Overdue,61-90
Apex Logistics,24-03-26,23-04-26," 15,588.60 ",TRUE,45, -   ,Paid,Not Overdue,31-60
Summit Manufacturing,03-04-26,03-05-26," 19,508.61 ",FALSE,35," 19,508.61 ",Unpaid,Overdue,31-60
Horizon Media,30-03-26,29-04-26," 8,879.31 ",FALSE,39," 8,879.31 ",Unpaid,Overdue,31-60
Global Tech Corp,19-01-26,18-02-26," 10,585.89 ",TRUE,109, -   ,Paid,Not Overdue,90+
Horizon Media,08-01-26,07-02-26," 17,229.70 ",TRUE,120, -   ,Paid,Not Overdue,90+
Apex Logistics,21-02-26,23-03-26," 19,479.43 ",TRUE,76, -   ,Paid,Not Overdue,61-90
Apex Logistics,25-01-26,24-02-26," 12,197.30 ",TRUE,103, -   ,Paid,Not Overdue,90+
Delta Retail,03-01-26,02-02-26," 15,689.24 ",TRUE,125, -   ,Paid,Not Overdue,90+
Summit Manufacturing,16-02-26,18-03-26," 1,199.69 ",TRUE,81, -   ,Paid,Not Overdue,61-90
Horizon Media,14-01-26,13-02-26," 9,435.73 ",TRUE,114, -   ,Paid,Not Overdue,90+
Horizon Media,22-03-26,21-04-26," 22,121.71 ",TRUE,47, -   ,Paid,Not Overdue,31-60
Horizon Media,29-04-26,29-05-26," 18,782.78 ",FALSE,9," 18,782.78 ",Unpaid,Not Overdue,0-30
Apex Logistics,09-03-26,08-04-26," 22,038.20 ",TRUE,60, -   ,Paid,Not Overdue,31-60
Global Tech Corp,18-02-26,20-03-26," 20,733.96 ",FALSE,79," 20,733.96 ",Unpaid,Overdue,61-90
Global Tech Corp,07-01-26,06-02-26," 17,651.14 ",FALSE,121," 17,651.14 ",Unpaid,Overdue,90+
Apex Logistics,02-04-26,02-05-26," 1,868.93 ",FALSE,36," 1,868.93 ",Unpaid,Overdue,31-60
Global Tech Corp,06-01-26,05-02-26," 18,834.88 ",TRUE,122, -   ,Paid,Not Overdue,90+
Delta Retail,18-01-26,17-02-26," 20,162.51 ",TRUE,110, -   ,Paid,Not Overdue,90+
Global Tech Corp,22-01-26,21-02-26," 11,769.03 ",TRUE,106, -   ,Paid,Not Overdue,90+
Delta Retail,04-04-26,04-05-26," 10,933.82 ",FALSE,34," 10,933.82 ",Unpaid,Overdue,31-60
Apex Logistics,06-04-26,06-05-26," 12,416.21 ",FALSE,32," 12,416.21 ",Unpaid,Overdue,31-60
Delta Retail,21-02-26,23-03-26," 11,151.45 ",TRUE,76, -   ,Paid,Not Overdue,61-90
Global Tech Corp,19-01-26,18-02-26," 10,138.05 ",TRUE,109, -   ,Paid,Not Overdue,90+
Global Tech Corp,04-04-26,04-05-26," 13,446.60 ",FALSE,34," 13,446.60 ",Unpaid,Overdue,31-60
Horizon Media,27-03-26,26-04-26," 11,872.29 ",TRUE,42, -   ,Paid,Not Overdue,31-60
Apex Logistics,11-03-26,10-04-26," 16,974.71 ",FALSE,58," 16,974.71 ",Unpaid,Overdue,31-60
Horizon Media,09-02-26,11-03-26," 9,693.19 ",TRUE,88, -   ,Paid,Not Overdue,61-90
Apex Logistics,12-02-26,14-03-26," 20,356.53 ",TRUE,85, -   ,Paid,Not Overdue,61-90
Apex Logistics,28-01-26,27-02-26," 21,675.94 ",TRUE,100, -   ,Paid,Not Overdue,90+
Apex Logistics,13-04-26,13-05-26," 23,347.91 ",FALSE,25," 23,347.91 ",Unpaid,Not Overdue,0-30
Apex Logistics,18-04-26,18-05-26," 6,160.41 ",FALSE,20," 6,160.41 ",Unpaid,Not Overdue,0-30
Summit Manufacturing,23-01-26,22-02-26," 1,606.02 ",TRUE,105, -   ,Paid,Not Overdue,90+
Delta Retail,17-03-26,16-04-26," 6,866.56 ",TRUE,52, -   ,Paid,Not Overdue,31-60
Global Tech Corp,08-02-26,10-03-26," 8,942.12 ",TRUE,89, -   ,Paid,Not Overdue,61-90
Global Tech Corp,15-03-26,14-04-26," 19,734.54 ",FALSE,54," 19,734.54 ",Unpaid,Overdue,31-60
Delta Retail,23-03-26,22-04-26," 20,617.73 ",TRUE,46, -   ,Paid,Not Overdue,31-60
Horizon Media,20-04-26,20-05-26," 7,805.85 ",TRUE,18, -   ,Paid,Not Overdue,0-30
Summit Manufacturing,16-03-26,15-04-26," 18,378.11 ",TRUE,53, -   ,Paid,Not Overdue,31-60
Delta Retail,21-02-26,23-03-26," 6,429.55 ",TRUE,76, -   ,Paid,Not Overdue,61-90
Summit Manufacturing,30-03-26,29-04-26," 20,633.86 ",FALSE,39," 20,633.86 ",Unpaid,Overdue,31-60
Summit Manufacturing,18-01-26,17-02-26," 18,881.12 ",TRUE,110, -   ,Paid,Not Overdue,90+
Summit Manufacturing,01-05-26,31-05-26," 24,181.80 ",FALSE,7," 24,181.80 ",Unpaid,Not Overdue,0-30
Horizon Media,25-03-26,24-04-26," 11,040.49 ",TRUE,44, -   ,Paid,Not Overdue,31-60
Global Tech Corp,26-01-26,25-02-26," 8,731.15 ",TRUE,102, -   ,Paid,Not Overdue,90+
Global Tech Corp,05-01-26,04-02-26," 17,570.65 ",TRUE,123, -   ,Paid,Not Overdue,90+
Apex Logistics,13-01-26,12-02-26," 16,848.24 ",TRUE,115, -   ,Paid,Not Overdue,90+
Summit Manufacturing,27-02-26,29-03-26," 17,723.22 ",TRUE,70, -   ,Paid,Not Overdue,61-90
Horizon Media,18-01-26,17-02-26," 9,698.43 ",TRUE,110, -   ,Paid,Not Overdue,90+
Summit Manufacturing,26-03-26,25-04-26," 5,519.26 ",FALSE,43," 5,519.26 ",Unpaid,Overdue,31-60
Global Tech Corp,29-01-26,28-02-26," 20,934.82 ",FALSE,99," 20,934.82 ",Unpaid,Overdue,90+
Delta Retail,01-05-26,31-05-26," 4,744.22 ",TRUE,7, -   ,Paid,Not Overdue,0-30
Delta Retail,15-04-26,15-05-26," 5,383.31 ",FALSE,23," 5,383.31 ",Unpaid,Not Overdue,0-30
Apex Logistics,30-01-26,01-03-26," 16,020.52 ",TRUE,98, -   ,Paid,Not Overdue,90+
Summit Manufacturing,23-02-26,25-03-26," 21,450.08 ",TRUE,74, -   ,Paid,Not Overdue,61-90
Horizon Media,09-01-26,08-02-26," 4,638.62 ",TRUE,119, -   ,Paid,Not Overdue,90+
Delta Retail,03-03-26,02-04-26," 19,982.01 ",TRUE,66, -   ,Paid,Not Overdue,61-90
Summit Manufacturing,30-01-26,01-03-26," 9,916.36 ",TRUE,98, -   ,Paid,Not Overdue,90+
Horizon Media,19-03-26,18-04-26," 15,905.65 ",TRUE,50, -   ,Paid,Not Overdue,31-60
Summit Manufacturing,14-03-26,13-04-26," 9,508.45 ",TRUE,55, -   ,Paid,Not Overdue,31-60
Summit Manufacturing,09-02-26,11-03-26," 18,012.31 ",TRUE,88, -   ,Paid,Not Overdue,61-90
Horizon Media,05-01-26,04-02-26," 22,357.35 ",TRUE,123, -   ,Paid,Not Overdue,90+
Apex Logistics,18-02-26,20-03-26," 1,206.99 ",TRUE,79, -   ,Paid,Not Overdue,61-90
Horizon Media,10-02-26,12-03-26," 14,735.06 ",TRUE,87, -   ,Paid,Not Overdue,61-90
Delta Retail,10-04-26,10-05-26," 19,220.45 ",FALSE,28," 19,220.45 ",Unpaid,Not Overdue,0-30
Summit Manufacturing,10-03-26,09-04-26," 5,122.34 ",TRUE,59, -   ,Paid,Not Overdue,31-60
Delta Retail,03-02-26,05-03-26," 24,025.56 ",TRUE,94, -   ,Paid,Not Overdue,90+
Delta Retail,08-04-26,08-05-26," 9,557.17 ",FALSE,30," 9,557.17 ",Unpaid,Not Overdue,0-30
Horizon Media,27-04-26,27-05-26," 22,297.54 ",FALSE,11," 22,297.54 ",Unpaid,Not Overdue,0-30
Horizon Media,12-02-26,14-03-26," 12,985.72 ",TRUE,85, -   ,Paid,Not Overdue,61-90
Global Tech Corp,02-03-26,01-04-26," 18,283.53 ",TRUE,67, -   ,Paid,Not Overdue,61-90
Horizon Media,12-03-26,11-04-26," 18,295.73 ",TRUE,57, -   ,Paid,Not Overdue,31-60
Horizon Media,30-01-26,01-03-26," 6,791.64 ",TRUE,98, -   ,Paid,Not Overdue,90+
Summit Manufacturing,05-04-26,05-05-26," 20,649.70 ",FALSE,33," 20,649.70 ",Unpaid,Overdue,31-60
Horizon Media,19-01-26,18-02-26," 9,995.95 ",TRUE,109, -   ,Paid,Not Overdue,90+
Apex Logistics,27-02-26,29-03-26," 16,760.99 ",TRUE,70, -   ,Paid,Not Overdue,61-90
Delta Retail,15-04-26,15-05-26," 16,091.71 ",FALSE,23," 16,091.71 ",Unpaid,Not Overdue,0-30
Apex Logistics,16-01-26,15-02-26," 9,821.59 ",TRUE,112, -   ,Paid,Not Overdue,90+
Summit Manufacturing,04-02-26,06-03-26," 10,949.47 ",TRUE,93, -   ,Paid,Not Overdue,90+
Global Tech Corp,25-03-26,24-04-26," 10,107.21 ",TRUE,44, -   ,Paid,Not Overdue,31-60
Global Tech Corp,15-02-26,17-03-26," 3,516.68 ",TRUE,82, -   ,Paid,Not Overdue,61-90
Delta Retail,13-04-26,13-05-26," 12,136.26 ",FALSE,25," 12,136.26 ",Unpaid,Not Overdue,0-30
Summit Manufacturing,23-01-26,22-02-26," 14,504.73 ",TRUE,105, -   ,Paid,Not Overdue,90+
Delta Retail,15-03-26,14-04-26," 18,570.95 ",TRUE,54, -   ,Paid,Not Overdue,31-60
Global Tech Corp,18-04-26,18-05-26," 13,625.44 ",FALSE,20," 13,625.44 ",Unpaid,Not Overdue,0-30
Delta Retail,02-03-26,01-04-26," 7,373.72 ",TRUE,67, -   ,Paid,Not Overdue,61-90
Delta Retail,04-01-26,03-02-26," 14,045.25 ",TRUE,124, -   ,Paid,Not Overdue,90+
Summit Manufacturing,08-01-26,07-02-26," 5,482.24 ",TRUE,120, -   ,Paid,Not Overdue,90+
Horizon Media,15-04-26,15-05-26," 23,274.97 ",FALSE,23," 23,274.97 ",Unpaid,Not Overdue,0-30
Apex Logistics,02-04-26,02-05-26," 3,622.54 ",TRUE,36, -   ,Paid,Not Overdue,31-60
Summit Manufacturing,30-04-26,30-05-26," 14,309.59 ",FALSE,8," 14,309.59 ",Unpaid,Not Overdue,0-30
Summit Manufacturing,18-04-26,18-05-26," 24,098.90 ",TRUE,20, -   ,Paid,Not Overdue,0-30
Global Tech Corp,21-02-26,23-03-26," 10,020.94 ",TRUE,76, -   ,Paid,Not Overdue,61-90
Global Tech Corp,19-04-26,19-05-26," 15,977.59 ",TRUE,19, -   ,Paid,Not Overdue,0-30
Summit Manufacturing,04-03-26,03-04-26," 14,310.38 ",TRUE,65, -   ,Paid,Not Overdue,61-90
Delta Retail,01-02-26,03-03-26," 16,854.60 ",FALSE,96," 16,854.60 ",Unpaid,Overdue,90+
Delta Retail,13-03-26,12-04-26," 7,329.60 ",FALSE,56," 7,329.60 ",Unpaid,Overdue,31-60
Summit Manufacturing,08-01-26,07-02-26," 18,238.69 ",FALSE,120," 18,238.69 ",Unpaid,Overdue,90+
Apex Logistics,24-01-26,23-02-26," 12,349.65 ",TRUE,104, -   ,Paid,Not Overdue,90+
Apex Logistics,23-02-26,25-03-26," 14,927.19 ",TRUE,74, -   ,Paid,Not Overdue,61-90
Summit Manufacturing,17-02-26,19-03-26," 12,570.09 ",TRUE,80, -   ,Paid,Not Overdue,61-90
Delta Retail,25-03-26,24-04-26," 11,080.66 ",TRUE,44, -   ,Paid,Not Overdue,31-60
Global Tech Corp,05-01-26,04-02-26," 22,237.87 ",TRUE,123, -   ,Paid,Not Overdue,90+
Delta Retail,13-04-26,13-05-26," 6,755.14 ",TRUE,25, -   ,Paid,Not Overdue,0-30
Apex Logistics,13-04-26,13-05-26," 11,395.01 ",FALSE,25," 11,395.01 ",Unpaid,Not Overdue,0-30
Delta Retail,13-02-26,15-03-26," 16,059.51 ",TRUE,84, -   ,Paid,Not Overdue,61-90
Global Tech Corp,01-02-26,03-03-26," 16,368.09 ",TRUE,96, -   ,Paid,Not Overdue,90+
Summit Manufacturing,04-04-26,04-05-26," 3,738.20 ",FALSE,34," 3,738.20 ",Unpaid,Overdue,31-60
Summit Manufacturing,03-01-26,02-02-26," 3,412.20 ",TRUE,125, -   ,Paid,Not Overdue,90+
Global Tech Corp,10-01-26,09-02-26," 3,335.39 ",TRUE,118, -   ,Paid,Not Overdue,90+
Delta Retail,08-01-26,07-02-26," 18,669.22 ",TRUE,120, -   ,Paid,Not Overdue,90+
Delta Retail,30-01-26,01-03-26," 19,634.09 ",TRUE,98, -   ,Paid,Not Overdue,90+
Global Tech Corp,14-04-26,14-05-26," 13,263.80 ",FALSE,24," 13,263.80 ",Unpaid,Not Overdue,0-30
Summit Manufacturing,26-03-26,25-04-26," 9,870.12 ",TRUE,43, -   ,Paid,Not Overdue,31-60
Horizon Media,22-01-26,21-02-26," 24,255.85 ",FALSE,106," 24,255.85 ",Unpaid,Overdue,90+
Delta Retail,20-02-26,22-03-26," 10,776.13 ",TRUE,77, -   ,Paid,Not Overdue,61-90
Horizon Media,29-03-26,28-04-26," 6,752.89 ",TRUE,40, -   ,Paid,Not Overdue,31-60
Global Tech Corp,28-03-26,27-04-26," 10,494.36 ",FALSE,41," 10,494.36 ",Unpaid,Overdue,31-60
Horizon Media,24-02-26,26-03-26," 14,658.25 ",TRUE,73, -   ,Paid,Not Overdue,61-90
Global Tech Corp,27-04-26,27-05-26," 12,542.89 ",FALSE,11," 12,542.89 ",Unpaid,Not Overdue,0-30
Summit Manufacturing,07-02-26,09-03-26," 8,861.05 ",TRUE,90, -   ,Paid,Not Overdue,61-90
Summit Manufacturing,27-02-26,29-03-26," 16,383.84 ",TRUE,70, -   ,Paid,Not Overdue,61-90
Apex Logistics,17-04-26,17-05-26," 12,536.39 ",FALSE,21," 12,536.39 ",Unpaid,Not Overdue,0-30
Apex Logistics,22-01-26,21-02-26," 24,869.75 ",TRUE,106, -   ,Paid,Not Overdue,90+
Apex Logistics,18-02-26,20-03-26," 3,883.53 ",FALSE,79," 3,883.53 ",Unpaid,Overdue,61-90
Global Tech Corp,24-03-26,23-04-26," 8,780.11 ",TRUE,45, -   ,Paid,Not Overdue,31-60
Apex Logistics,14-03-26,13-04-26," 4,024.30 ",TRUE,55, -   ,Paid,Not Overdue,31-60
Apex Logistics,04-01-26,03-02-26," 5,356.28 ",TRUE,124, -   ,Paid,Not Overdue,90+
Horizon Media,28-02-26,30-03-26," 11,711.63 ",TRUE,69, -   ,Paid,Not Overdue,61-90
Summit Manufacturing,08-01-26,07-02-26," 7,716.33 ",TRUE,120, -   ,Paid,Not Overdue,90+
Horizon Media,22-02-26,24-03-26," 17,576.23 ",TRUE,75, -   ,Paid,Not Overdue,61-90
Summit Manufacturing,04-01-26,03-02-26," 13,767.32 ",TRUE,124, -   ,Paid,Not Overdue,90+
Global Tech Corp,31-01-26,02-03-26," 21,970.00 ",TRUE,97, -   ,Paid,Not Overdue,90+
Horizon Media,22-04-26,22-05-26," 3,222.84 ",FALSE,16," 3,222.84 ",Unpaid,Not Overdue,0-30
Summit Manufacturing,29-03-26,28-04-26," 16,777.22 ",TRUE,40, -   ,Paid,Not Overdue,31-60
Horizon Media,22-01-26,21-02-26," 2,214.07 ",TRUE,106, -   ,Paid,Not Overdue,90+
Delta Retail,25-02-26,27-03-26," 13,726.89 ",TRUE,72, -   ,Paid,Not Overdue,61-90
Apex Logistics,07-03-26,06-04-26," 10,679.93 ",TRUE,62, -   ,Paid,Not Overdue,61-90
Summit Manufacturing,28-02-26,30-03-26," 24,690.50 ",TRUE,69, -   ,Paid,Not Overdue,61-90
Global Tech Corp,10-04-26,10-05-26," 4,486.08 ",FALSE,28," 4,486.08 ",Unpaid,Not Overdue,0-30
Horizon Media,12-02-26,14-03-26," 22,404.49 ",TRUE,85, -   ,Paid,Not Overdue,61-90
Summit Manufacturing,01-05-26,31-05-26," 12,629.63 ",TRUE,7, -   ,Paid,Not Overdue,0-30
Horizon Media,18-02-26,20-03-26," 6,102.20 ",TRUE,79, -   ,Paid,Not Overdue,61-90
Horizon Media,07-01-26,06-02-26," 14,756.55 ",TRUE,121, -   ,Paid,Not Overdue,90+
Summit Manufacturing,19-02-26,21-03-26," 5,307.22 ",TRUE,78, -   ,Paid,Not Overdue,61-90
Horizon Media,08-01-26,07-02-26," 22,991.31 ",TRUE,120, -   ,Paid,Not Overdue,90+
Delta Retail,14-01-26,13-02-26," 13,533.29 ",TRUE,114, -   ,Paid,Not Overdue,90+
Summit Manufacturing,25-02-26,27-03-26," 9,127.44 ",TRUE,72, -   ,Paid,Not Overdue,61-90
Apex Logistics,02-03-26,01-04-26," 3,783.61 ",TRUE,67, -   ,Paid,Not Overdue,61-90
Summit Manufacturing,04-03-26,03-04-26," 8,558.54 ",FALSE,65," 8,558.54 ",Unpaid,Overdue,61-90
Delta Retail,19-03-26,18-04-26," 10,629.89 ",FALSE,50," 10,629.89 ",Unpaid,Overdue,31-60
Summit Manufacturing,12-04-26,12-05-26," 22,097.72 ",TRUE,26, -   ,Paid,Not Overdue,0-30
Horizon Media,04-01-26,03-02-26," 14,725.28 ",TRUE,124, -   ,Paid,Not Overdue,90+
Summit Manufacturing,04-04-26,04-05-26," 23,700.62 ",FALSE,34," 23,700.62 ",Unpaid,Overdue,31-60
Delta Retail,22-04-26,22-05-26," 17,485.98 ",TRUE,16, -   ,Paid,Not Overdue,0-30
Summit Manufacturing,06-01-26,05-02-26," 5,705.20 ",TRUE,122, -   ,Paid,Not Overdue,90+
Summit Manufacturing,21-04-26,21-05-26," 13,951.64 ",TRUE,17, -   ,Paid,Not Overdue,0-30
Apex Logistics,14-04-26,14-05-26," 17,324.91 ",FALSE,24," 17,324.91 ",Unpaid,Not Overdue,0-30
Apex Logistics,28-03-26,27-04-26," 12,070.52 ",FALSE,41," 12,070.52 ",Unpaid,Overdue,31-60
Delta Retail,20-02-26,22-03-26," 22,246.67 ",FALSE,77," 22,246.67 ",Unpaid,Overdue,61-90
Delta Retail,27-01-26,26-02-26," 2,915.16 ",TRUE,101, -   ,Paid,Not Overdue,90+
Global Tech Corp,20-01-26,19-02-26," 7,799.30 ",TRUE,108, -   ,Paid,Not Overdue,90+
Apex Logistics,26-04-26,26-05-26," 5,186.34 ",TRUE,12, -   ,Paid,Not Overdue,0-30
Summit Manufacturing,23-03-26,22-04-26," 24,568.97 ",FALSE,46," 24,568.97 ",Unpaid,Overdue,31-60
Summit Manufacturing,19-03-26,18-04-26," 16,069.37 ",TRUE,50, -   ,Paid,Not Overdue,31-60
Delta Retail,06-02-26,08-03-26," 4,594.03 ",TRUE,91, -   ,Paid,Not Overdue,90+
Delta Retail,27-04-26,27-05-26," 2,696.60 ",FALSE,11," 2,696.60 ",Unpaid,Not Overdue,0-30
Delta Retail,29-04-26,29-05-26," 20,827.12 ",FALSE,9," 20,827.12 ",Unpaid,Not Overdue,0-30
Apex Logistics,02-03-26,01-04-26," 8,891.25 ",FALSE,67," 8,891.25 ",Unpaid,Overdue,61-90
Delta Retail,10-02-26,12-03-26," 16,990.73 ",TRUE,87, -   ,Paid,Not Overdue,61-90
